index,name,Tc
130,Nb2In1C1,7.5
131,Ba0.91Ce0.09Fe2As2,4.12
132,Ce1Pt2.94Ni0.06Si1,0.545
133,Nb41.25Ta13.75Ir45,4.35
134,Bi1,5.867142857
135,Hg3Zr1,3.28
136,Sr1Fe1.5Ru0.5As2,10.25
137,Pb0.987Tl0.013Te1,1.32
138,Sn0.8075Pb0.1425In0.05Te1,2.81
139,Y1Ni1.94Co0.06B2C1,11.8
140,V3Ga0.793Sb0.207,6.9
141,Al0.3Be0.7,6.5
142,Pd1.05Te2,1.77
143,Li2B1Pd0.9Pt2.1,2.31
144,Y1Ni1.86Fe0.14B2C1,6.2
145,In1.1Te1,2.8
146,Ir0.8Rh0.2,0.03
147,V2Ir1B2,1.12
148,Co0.038Mo99.962,0.22
149,Bi1Pd1Te1,1.2
150,Ba1Fe1.64Ru0.36As2,8.43
151,Tm1Ni1.98Co0.04B2C1,9.2
152,Ba0.7K0.3Fe1.72Co0.28As2,12.0
153,Ga5V2,3.57
154,K0.95Bi1.05O3,8.1
155,C1Hf0.5Nb0.5,4.8
156,La0.97Gd0.03Ru2,2.73
157,Ce1Ru1.97Co0.03,3.5
158,Mo0.1Ti0.9,3.25
159,V0.75Ge0.1875Al0.0625,11.4
160,Au0.988Pd0.012Ga2,1.25
161,Pd1Te1,3.01
162,Nb0.9Ti0.1,9.61
163,Ba1Ti2Sb1.6Bi0.4O1,3.47
164,Ag0.1Tl0.9,3.57
165,Mo0.98Nb0.02Ga4,8.0
166,Pt1Sb1,2.1
167,Li0.33V2O5,8.5
168,Ta0.85W0.15,1.95
169,In0.8Tl0.2,3.223
170,Ti0.588V0.392Fe0.02,6.79
171,Gd0.71Pr1.14Ce0.15Cu1O4,8.1
172,C1K1,0.55
173,Cu2Mo6S6O2,9.0
174,In0.25Tl0.75,3.64
175,Hf0.33Nb0.33V0.33,6.6
176,Lu4.5Tm0.5Ir4Si10,2.84
177,Sr11Ca10Cu24O41,3.0
178,La0.85Ce0.15Ru2,2.444
179,Zr1Ru0.95Rh0.05P1,6.15
180,C0.97Ta1,11.84
181,Nb0.94Ta0.06,8.76
182,Pt1Si1,0.88
183,B1I3,1.86
184,Nb79.5Sn2.1Al6.1Ge12.3,9.4
185,Bi0.07Pb0.93,7.7
186,Nb0.26U0.74,1.85
187,Er0.9Tb0.1Ni2B2C1,8.52
188,Ga1N1,2.925
189,B5Nb1.8Zr0.2,5.9
190,Yb1Al1B4,0.08
191,Sm1Fe1As0.47P0.53H0.09O0.91,10.5
192,Cu0.98Co0.02Rh2S4,1.0
193,Lu5Ir4Si8Ge2,6.6
194,In1,3.549542857
195,Ga2La1,0.575
196,Sr1Si1.9Ni0.1,2.3
197,Sn18.43Er4.57Rh6,0.97
198,La0.95Ce0.05Ru4P12,6.8
199,Br2,1.4
200,Al0.22La0.78,4.3
201,Ce1Pt0.2Ru1.8,3.4
202,Sm1Fe0.94Ni0.06As1O1,9.0
203,Mo1.75Ru1.25B2,3.7
204,Zr1P1.6S0.4,4.36
205,Au0.28Te0.72,1.96
206,Ca1Si2.2,1.37
207,Hg0.97Tl0.03,4.109
208,Er0.03La0.97,4.49
209,Y1Ru1B4,1.38
210,Pd2Se1,2.2
211,Rh0.06Zr0.94,5.866666667
212,Ir2Zr1,4.1
213,La1Ni1B1N1,1.96
214,Ce1Co1In4.94Sn0.06,1.565
215,Nb2Pd0.67Se5,1.2
216,Bi2K1,3.575
217,Ir0.89Rh0.11,0.06
218,Lu1Ni1B0.8C1,2.6
219,B2.34Nb1,9.16
220,Co7.32Ga25V67.68,5.03
221,Hf1V2H0.4,8.42
222,Cu0.05V0.95,3.85
223,Ho1Rh3Ru1B4,6.35
224,Y0.9Fe0.1B6,3.3
225,Mo0.52Re0.48,11.1
226,Mo0.059Zr0.941,4.15
227,Cs0.005W1O3,5.9
228,Ho1Rh4B4,0.7
229,V3Ga0.9Sn0.1,10.7
230,Ca0.81Nd0.19Fe1As2,11.0
231,U1Ir2Si2,1.1
232,Th0.05Zr0.95,0.73
233,Ba1Fe1.8Ni0.2As2,6.4
234,Lu2Ir3Si4.9Ge0.1,7.74
235,Ti1.38V1.62Sb1,1.49
236,Be2Ta3,1.0
237,Mo0.025Ti0.975,1.8
238,V2.7Mn0.3Si1,11.9
239,La3Pr0.3In1,6.2
240,Ce1Rh1Si3,0.914
241,Ba1Pb0.78Bi0.22O3,10.3
242,Ce1Ir0.956Pt0.044In5,0.429
243,Ag0.1In0.9Te1,1.2
244,Ce1Rh0.25Ir0.75In5,0.63
245,Ag0.865Sb0.135,0.014
246,Ta1,4.3769
247,Cu0.844Sb0.156,0.067
248,Eu1Pt1Si3,3.7
249,Tm1Ir3.6Rh0.4B4,1.48
250,Ce1Bi1S2F0.9O0.1,6.855
251,Ba1Ni2As2,0.783333333
252,Cs2Cr3As3,2.025
253,Nb0.95Mo0.05C1,12.1
254,Ba0.47K0.53Bi0.979Pr0.021O3,4.5
255,Cs1,0.75
256,Hf0.36Nb0.62Zr0.02,7.75
257,Co35.38Zr64.62,2.67
258,Ce1Rh0.07Co0.93In5,1.89
259,W5Si1B2,5.8
260,Ca0.4Ba1.15La1.45Cu3O7.12,7.6
261,Pr1V2Al20,0.029666667
262,C1Rh1,1.666666667
263,Ni0.011V0.989,3.82
264,Yb3Co4Sn13,2.5
265,Mo0.202Zr0.798,5.25
266,Ta0.6Mo0.4C1,8.67
267,Nb0.1Ti0.9N0.98,6.48
268,Sr1Pt2.1Pd0.9P1,5.78
269,Li2Mo15Se19,2.6
270,Nd1.83Ce0.17Cu1O4,12.8
271,Lu0.9Gd0.1Ru1B2,6.4
272,Nb0.8Pd0.2,1.98
273,Er5Os4Si15,5.5
274,Cr34.9Ga25V40.1,5.48
275,La0.99Nd0.01,4.915
276,La1.8Sr0.2Cu0.65Ni0.35O4,8.0
277,Sn0.057V0.943,1.6
278,Mg4Ni6B2,4.0
279,Mn0.05Rh0.04Ti0.91,2.4
280,Re0.2Ta0.8,0.21
281,Ca0.1O3W1,1.4
282,La0.1Ce0.9Ru2,7.194
283,Fe0.02Te0.85Se0.15,12.7
284,Ce1Rh0.3Co0.7In5,1.42
285,Al13Os3.2Ru0.8,4.0
286,Ce1Ir0.978Pt0.022In5,0.734
287,Mo0.85Pt0.15,8.8
288,Sn1.08Eu0.1Mo6.35S8,10.9
289,La2.9602Gd0.0398In1,6.04
290,Lu1Mo6S8,2.2
291,La1Pd2Al3,0.85
292,Ho1Ni1.95Co0.03B2C1,4.51
293,Y1Ir1.5Os0.5,2.4
294,Nb0.04Ta0.96,4.47
295,Sb1Ta3,0.72
296,Sr2Ru1O4,1.290384615
297,Hf1Ru1As1,3.193333333
298,C0.96Nb1,9.8
299,Fe1Te1,1.5
300,Y5Ir4Ge10,2.76
301,Ni2Nb1Sn1,3.15
302,Bi2Sr1.6Eu0.4Cu1O6.301,12.5
303,Th7Fe1.86Co1.14,1.07
304,Mg1C0.853B0.072Ni3,6.76
305,Fe1.02Te0.5Se0.1S0.4,8.45
306,Pd0.67Se0.33,2.2
307,Hf2Rh1,1.72
308,Pb1Mo6Se7.55,5.0
309,Al0.27La0.73,3.82
310,Nb0.35Ti0.15Zr0.5,9.3
311,Ti1Se2,0.9
312,Th1Ru2Ge2,1.1
313,U0.94Mo0.06,0.74
314,Li0.3O3W1,2.2
315,Nb20Ti75Ta5,7.1
316,Zr33.3V56.7Nb9.9,5.34
317,Mo0.04Zr0.96,4.47
318,Bi3S3O2,4.3
319,Li1Rh1B1.5,2.5
320,Dy1Ni2B2C1,5.033571429
321,Ge3Y1,2.35
322,Dy1Rh3.2Ir0.8B4,1.78
323,Rh0.08Ti0.92,3.5
324,Th1Ir1Os1,3.61
325,V3Ga0.78Sn0.22,6.9
326,B2Os1,1.5975
327,La1.84Sr0.16Cu0.97Zn0.03O4,7.85
328,Ba1Cu0.4Si1.6,2.11
329,Ta0.05Mo0.95C1,11.8
330,Nb2Se3,2.3
331,Cu0.01Ta1S2,3.05
332,In0.85Pb0.15,5.1
333,B5Hf0.2Nb1.8,3.6
334,Mo0.05Tc0.95,10.8
335,Pb1Te1Yb1S1,5.93
336,Mg1Al1Si1,6.0
337,Th0.8Sc1.2C3,6.0
338,Th1Ir0.4Os1.6,3.56
339,Lu1Ni1.8Co0.4B2C1,2.6
340,P1Pb1,7.8
341,Bi0.5Pb0.31Sn0.19,8.5
342,Ho0.7Lu0.3Ni2B2C1,8.72
343,Na0.28Pb0.72,7.2
344,Y0.15Dy0.85Ni2B2C1,4.3
345,Pr1Os2Ru2Sb12,0.805
346,Ca1Al0.5Ga0.5Si1,3.73
347,Ba2Sn3Sb6,3.9
348,In0.087Pb0.913,7.035
349,Nb79.2Sn5.2Al5.2Ge10.4,10.9
350,Ir3Y1,3.5
351,Bi0.1In0.9,5.05
352,V0.75Ge0.025Al0.225,11.2
353,Ba0.14O3W1,1.725
354,Pr0.2La0.8Os4Sb12,0.9865
355,Er1Rh4B4,7.795
356,Nb0.4Ru0.6,2.5
357,Li1Pb1,7.2
358,Re10Zr90,4.12
359,Os0.113Re0.887,1.79
360,Sr2Cu1C0.96B0.04O5,7.0
361,Pb0.95Tl0.05,3.5275
362,K0.33Ta1S2,3.8
363,Sn0.24Eu0.8Mo6.35S8,6.0
364,Ir0.3Ru0.2Rh0.5,0.02
365,Mo0.8Hf0.2C1,11.4
366,Al0.33Ge0.67,1.75
367,Lu4.95Sc0.05Ir4Si10,4.5
368,Tm1Th3.4Ru0.6B4,8.3
369,La1Ni2Ge2,0.345
370,Hf0.32Ta0.68,6.68
371,Fe1Se0.8S0.2,10.015
372,Pd49.75V0.25Sb50,1.13
373,Be13U0.9934Th0.0066,0.67
374,Ca1Al0.7Ga0.3Si1,4.78
375,Ir0.72Re0.18Rh0.1,0.6
376,Nd0.8Pr0.2Ba2Cu3O6.75,9.8
377,Ba1Fe1.838Co0.094Cu0.068As2,5.3
378,Tl1Sr1.5Ce0.5Ca1Cu2O7,5.0
379,Be17Nb2,1.47
380,Cu0.825Ge0.175,0.145
381,Er0.97Tm0.3Rh4B4,9.03
382,Y2Dy3Os4Ge10,2.86
383,N1Th1,3.3
384,Zr33.3V59.25Nb7.35,6.3
385,Lu2Ir3Si4.75Ge0.25,6.2
386,Y1Ru4B4,1.4
387,Ba0.8Rb0.2Ti2Sb2O1,6.19
388,Eu0.65La1.2Ce0.15Cu1O4,11.0
389,La1.882Ba0.118Cu0.99Ni0.01O4,12.7
390,Nb2S2C1,7.6
391,Sm0.7Pr0.3Ba2Cu3O6.85,4.4
392,Re24Zr5,3.875
393,Y2Br1Cl1C2,3.85
394,La1.937Sr0.063Cu1O4,11.7
395,Lu3Rh4Ge13,2.3
396,C0.46W0.54,9.0
397,Cr0.1Ti0.3V0.6,5.6
398,Nb0.2V0.8,4.03
399,Os0.7Re0.3,0.8
400,Mo6Se7S1,4.48
401,Zr1Ru1P0.85B0.15,6.4
402,Ir0.75Rh0.25,0.026
403,Y2I0.4Br1.6C2,5.8
404,Ba2Bi2Sb1,3.92
405,Y1Ni1.82Pd0.18B2C1,11.8
406,Sn0.927In0.061Te1,1.8
407,Be2Nb3,2.3
408,S1Y1,1.9
409,La0.9Pr0.1Se1,0.48
410,Mo2Zr1,2.743
411,Ba1Fe1.7Zn0.08Co0.22As2,8.77
412,Pr0.25La0.75Ir2Zn20,0.28
413,Os0.1W0.9,1.5
414,Mg1C1Ni2.95Co0.05,7.42
415,Sc4Rh6Sn19,3.2
416,La1Fe1As0.7P0.3O1,9.743333333
417,In0.05Sn0.95,3.625
418,Rh1Zr1,1.35
419,Ti0.42V0.58,7.52
420,C0.72W0.28Si1,3.9
421,K0.75Ca0.25Bi1O3,8.7
422,Sn0.8In0.2Te0.8Se0.2,3.8
423,Zr1Ru0.8Fe0.2P1,2.6
424,Fe0.008Mo99.992,0.645
425,Os1Ti1,0.46
426,Ta0.9V0.1,3.58
427,Cu0.55Zn0.45Ir2S4,2.41
428,Ce1Cu2Si1.7Ge0.3,0.1
429,C1.35Ca0.1Y0.9,10.5
430,Er1.2Mo6S8,1.433333333
431,Bi3S3O3,5.1
432,Sn0.97As0.02Te0.98,0.0318
433,Y2Cu2I2,10.1
434,La1Pt1.97Ge2.03,0.83
435,V3Si0.46Ga0.54,7.4
436,V0.746Sb0.179Al0.075,4.3
437,Eu1.80375Gd0.04625Ce0.15Cu1O4,5.7
438,Bi0.45Pb0.55,7.7
439,La3Ni2B2N2.7,12.5
440,K1Ni2Se2,0.8
441,Mg1Co1Ni3,7.63
442,C0.64Mo1,8.45
443,Na2Rb1C60,1.966666667
444,Cr1Ru3,3.3
445,Sc4Ir6Ge19,1.4
446,La2.9451Gd0.0549In1,2.71
447,D0.018Nb0.982,9.23
448,La1Pd2P2,0.75
449,Sm1Fe0.9Rh0.1As1O1,9.6
450,In1Te1,2.206
451,Pd50.745Sc0.255Sb49,1.56
452,Ru28Zr72,3.76
453,Nb0.85W0.15,5.32
454,Pd1Th2,0.75
455,Ba0.47K0.53Bi0.965Pr0.035O3,2.97
456,Th7Fe2.43Ni0.57,1.05
457,Zr0.935Lu0.065B12,4.77
458,Fe3Th7,2.016666667
459,Au0.855Sn0.145,0.43
460,Rh0.02Zr0.98,2.4
461,La1Tl0.75Sn2.25,1.19
462,Y0.7Th0.3Ni1C2,7.445
463,Na0.33Co1H2.6O3.3,2.2
464,Au0.22Te0.78,1.54
465,La0.5Sm0.5Bi1S2F0.5O0.5,4.05
466,Ho1Th3.4Ru0.6B4,6.3
467,Ba1Ag0.5Si1.5,1.21
468,Th1Ir2Si2,2.215
469,Al20.3V2,1.49
470,Ir0.98Pt0.02Te2,1.4275
471,C60Ca5,8.4
472,Nb0.98Ta0.02,9.02
473,Na0.3Ba6.2Si46,4.0
474,V0.741Sb0.113Al0.146,6.1
475,Th99.92U0.08,0.77
476,Ta2Zr1,2.3
477,Ba0.83K0.17Fe2As2,8.0
478,Fe1Te0.88S0.12,6.8
479,Au0.865Sn0.135,0.435
480,Ir0.765Os0.085Rh0.15,0.096
481,C0.04Re0.96,1.98
482,B1Mo1.75Ta0.25,3.05
483,Cu0.86Si0.14,0.054
484,Pd0.2Ho1Te3,2.0
485,V0.747Ga0.131Al0.122,11.7
486,Nb48.15Zr42.5Ta9.35,10.4
487,Pb0.85Tl0.15,6.73
488,Hg0.333In0.667,4.115
489,Al0.005V0.995,4.82
490,V3Ga0.4Si0.6,8.7
491,Ba1Pb0.65Bi0.35O3,3.93
492,Rh0.53Se0.47,6.0
493,Sr0.2W1S2,3.5
494,Cu0.7Ti1Se2,3.9
495,Nb1S0.899,3.83
496,Sn0.8In0.2Te0.85Se0.15,3.9
497,Ge2Mo1,3.055
498,Ce1Te1.82,2.7
499,W1.75Ru1.25B2,3.38
500,Ba1Fe1.78Ni0.22As2,3.4
501,C1Ir2W3,2.1
502,Y0.2Lu0.8Ir4B4,3.04
503,Ni1U6,0.54
504,C1.3La1,8.3
505,La0.15Y0.85,0.1
506,Ba0.2K0.8Fe2As2,12.8
507,La1.85Sr0.15Cu0.977Ga0.023O4,0.9
508,U1Pd2Al3,1.864
509,Ir0.58Rh0.37Te2,3.76
510,Cu1Co1.95Cr0.05S4,3.4
511,Ce0.94La0.06Ru2,6.55
512,Y1Os2Si2,1.1
513,Ba1.7K0.3Pb0.95Bi0.05O4,11.0
514,Li2Ir1Si3,3.75
515,Ba0.1Sr0.9Ti1O3,0.1
516,Nb0.8Zr0.2,10.9
517,Li2Pt3B0.99Al0.01,2.86
518,Ir0.1Os0.3Rh0.6,0.21
519,Co1Si2,1.306666667
520,V3Si0.68Ga0.32,9.4
521,U0.85Mo0.15,2.105
522,Ba4C60,6.75
523,U1Ni1.95Al3.05,0.16
524,Mo1B0.03C0.82,11.8
525,Ba1Ti2Sb0.8Bi1.2O1,4.02
526,Mg1C0.965Ni3,6.3
527,B1Ta1,4.0
528,Nb50Zr40Hf10,10.1
529,Cd1C1Ni3,3.133333333
530,Au1Te2,1.366666667
531,La0.7Sm0.3Bi1S2F0.5O0.5,3.11
532,Y1Ni1.46Pd0.54B2C1,10.1
533,B3Nb1,9.96
534,V2Hf0.9Nb0.1,9.93
535,Ba1Pb0.8Bi0.2O3,9.875
536,Be22Mo0.6Re0.4,8.3
537,Rh0.2Ru0.8,0.18
538,Pd2Y0.95Gd0.05Sn1,2.41
539,Ba0.85K0.15Ti2Sb2O1,5.86
540,Tl1Mo6Se7.5,12.2
541,Pr1.5725Y0.2775Ce0.15Cu1O4,11.0
542,La1Ni1Sn1,0.59
543,Th3Rh4Sn13,1.9
544,Li1.08Ti1.92O4,11.8
545,C1.95Y1,3.86
546,Pb0.928Sn0.232Ti2Se5.16,4.53
547,In0.92Sn0.08,4.25
548,La1Ir1Si1,2.3
549,U0.9Np0.1Co1Ga5,7.2
550,Cu6La1,0.021
551,Sn0.901In0.099Te1,1.746
552,Nb1N1.08O0.27,12.8
553,Th0.2Zr0.8,3.3
554,Ce1Co1In4.9835Cd0.0165,2.15
555,Nb25Ti65Zr10,7.7
556,Y1Ni1.7Mn0.3B2C1,5.7
557,Re0.52W0.48,5.2
558,Ge0.045Nb0.955,4.15
559,Mo5P1B2,8.7
560,Li2Pd2.55Ni0.45B1,6.58
561,Be22Re0.95Os0.05,9.2
562,La1Ru2.94Co0.06Si2,6.62
563,Zr1Ru1P0.8B0.2,5.4
564,C0.6Mo4.8Si0.3,7.6
565,Cu0.045Ti1Se2,0.95
566,Rh0.03Zr0.97,5.626666667
567,C1Ta2,1.63
568,Cr2Ru1,2.02
569,Co0.032Ti0.968,2.84
570,Nb0.99Cr0.01N1,1.2
571,Fe0.97Zn0.03Se0.3Te0.7,11.8
572,Pb0.9Sb0.1,6.28
573,Y1Ru4P12,8.5
574,La0.933Gd0.067Sn3,4.64
575,La2.9889Gd0.0111In1,7.92
576,Ce1Bi1S2F0.9O0.34,3.51
577,Y1Os4P12,3.0
578,Mo0.25Ru0.75,2.6
579,Hg1Sm0.5In0.5Pb2,6.9
580,Nd1Bi0.94Pb0.06S2F0.3O0.7,5.56
581,Rh24Zr76,3.67
582,B2.75Be1,0.755
583,Th1Pt2Ge2,1.1
584,Y1.68Lu0.32Fe3Si5,0.98
585,In0.017Sn0.983,3.625
586,Ca1Fe0.8Ni0.2As1F1,3.92
587,As3La4,6.5
588,Al2Au1,0.0475
589,Li2.6Ti2.7O4,10.9
590,V50Ti45Ta5,4.55
591,Na0.22Co1H1.8O2.85,4.45
592,Ba0.13O3W1,1.9
593,Ho0.8La0.2Ni2B2C1,1.3
594,Ni1Ta2,0.9
595,Y1Mo6S7,2.66
596,Er1Os1.1Sn2.7,1.3
597,Ga25Mn14V61,4.22
598,Cu50Zr50,0.543333333
599,Cr0.071Nb0.929,6.95
600,Ba1Ti2Sb1.4Sn0.6O1,2.49
601,La1Pt0.5Ni0.5Si1,2.285
602,Y1Pt2Si2,1.57
603,Ba0.88K0.12Fe2As2,10.0
604,Pr1Os1Ru3Sb12,0.84
605,Nb0.29Re0.71,5.61
606,Cu0.7Zn0.3Ir2S4,2.95
607,Pd1Sn1,0.41
608,Ta1Se1.5Te0.5,1.2
609,Au0.427Ga0.573,1.378
610,Co0.015Mo99.985,0.59
611,Tl1Mo3Te3,5.84
612,Cd0.75Mg0.25,0.16
613,V0.55Ge0.1Al0.35,5.4
614,Pd50.745Ti0.255Sb49,1.61
615,D0.967Pd1,8.14
616,Rh0.88Ti0.12,4.0
617,Pd1Tl1Pb1,1.78
618,Cu1Co1.99Cr0.01S4,3.62
619,H0.1Nb0.9,7.38
620,La1Pd2As2,0.97
621,Th0.9La0.3Ru2,4.45
622,C6Sr1,1.65
623,Mo0.22U0.78,2.06
624,Y6Nb4Al43,0.86
625,Si0.05V0.95,2.95
626,Nb0.8Ga0.14Ni0.06,8.7
627,Au0.328Ga0.672,1.668
628,Zr1Os1Si1,1.72
629,Cr0.0033V0.9967,5.07
630,Ba1Ge3,4.0
631,Ca10Pt3.41Fe9.59As18,7.38
632,La0.99Pr0.01,5.265
633,Cd0.0263Pb0.9737,7.124
634,Ga0.2V0.8,12.5
635,Mo0.1215Ti0.8785,3.5
636,Cd1Mo6S8,1.8
637,Pr1.11Gd0.74Ce0.15Cu1O4,12.5
638,Ba1Pd0.2Si1.8,2.91
639,Li0.9Mg0.1,11.0
640,Y4Os4Si13,9.8
641,Mo0.1U0.9,1.85
642,Hg1Sn6,5.1
643,C14H10Sr1.5,5.6
644,Ce1Rh0.6Co0.4In5,1.5
645,Mo0.91Ti0.09,2.95
646,Ru0.42V0.58,2.12
647,Ca0.1Ba1.65La1.25Cu3O6.98,8.0
648,U1,0.581666667
649,Pr1Fe0.9Co0.1As0.8P0.2O1,10.9
650,Ti0.2V0.8,7.305
651,Pr1Fe0.85Co0.15As1O1,7.485
652,B0.978C0.022Si1,1.35
653,Nd1.72Ta3.28S2,4.3
654,Ag1Th2,2.225
655,Re24Sc5,2.2
656,Al0.02V0.98,4.05
657,La1.85Sr0.15Cu0.966Ni0.034O4,9.4
658,Pd0.07Ti0.93,3.26
659,Be5Pt1,2.3
660,As1Ga1,5.7
661,Mo0.15Nb0.85,5.575
662,Sn0.6646Pb0.2854In0.05Te1,2.28
663,Pb0.32Sn0.48In0.2Te1,4.19
664,Nb2Pd1S4.25Se0.75,3.18
665,Ba0.4K0.6O3,7.0
666,Bi0.02Sn0.98,3.85
667,La1Pt2.2B2C1,6.5
668,Lu0.275Rh0.725,1.27
669,Ho5Os4Si15,4.5
670,La1Fe1As0.2P0.8O1,11.42
671,C1Tc1,3.85
672,Ir0.8Pt0.2,0.046
673,Fe0.95Ni0.05Se1,10.0
674,Ce1Rh0.13Co0.87In5,1.73
675,Ce1Cu2.05Si2,0.7
676,B2.5Mo1,7.775
677,Na0.45Co1H2.6O3.3,2.0
678,La1.943Sr0.057Cu1O4,4.51
679,V50Ti40Mo10,6.2
680,Ce1Co1.67Rh0.33,0.47
681,La0.4Th0.6Ni1C2,7.6
682,Nb3Si1Sn1V3,4.0
683,Pr1.85Ce0.15Cu0.993Ni0.007O4.065,7.02
684,Au0.65Pt0.35Te2,4.1
685,La2.4Se4Y0.6,3.92
686,La1.85Sr0.15Cu0.988Fe0.012O4,11.6
687,Ca1Cu0.25Si1.6,3.0
688,In0.94Pb0.06,3.9
689,Na0.35Co1H1.3O3.3,3.7
690,Rh0.04Ta0.05Ti0.91,2.3
691,Th1.8Lu0.2C3,10.3
692,Mg1C1Ni2.999Fe0.001,6.93
693,Th1.8Sc0.2C3,6.7
