,name,Tc
132,Sn0.8075Pb0.1425In0.05Te1,2.81
133,V3Ga0.793Sb0.207,6.9
134,Al0.3Be0.7,6.5
135,Pd1.05Te2,1.77
136,Li2B1Pd0.9Pt2.1,2.31
137,Y1Ni1.86Fe0.14B2C1,6.2
138,In1.1Te1,2.8
139,Ir0.8Rh0.2,0.03
140,V2Ir1B2,1.12
141,Co0.038Mo99.962,0.22
142,Bi1Pd1Te1,1.2
143,Ba1Fe1.64Ru0.36As2,8.43
144,Tm1Ni1.98Co0.04B2C1,9.2
145,Ga5V2,3.57
146,K0.95Bi1.05O3,8.1
147,C1Hf0.5Nb0.5,4.8
148,La0.97Gd0.03Ru2,2.73
149,Ce1Ru1.97Co0.03,3.5
150,Mo0.1Ti0.9,3.25
151,Au0.988Pd0.012Ga2,1.25
152,Pd1Te1,3.01
153,Nb0.9Ti0.1,9.61
154,Ba1Ti2Sb1.6Bi0.4O1,3.47
155,Ag0.1Tl0.9,3.57
156,Mo0.98Nb0.02Ga4,8.0
157,Pt1Sb1,2.1
158,Li0.33V2O5,8.5
159,Ta0.85W0.15,1.95
160,In0.8Tl0.2,3.223
161,Ti0.588V0.392Fe0.02,6.79
162,Gd0.71Pr1.14Ce0.15Cu1O4,8.1
163,C1K1,0.55
164,Cu2Mo6S6O2,9.0
165,In0.25Tl0.75,3.64
166,Hf0.33Nb0.33V0.33,6.6
167,Lu4.5Tm0.5Ir4Si10,2.84
168,Sr11Ca10Cu24O41,3.0
169,La0.85Ce0.15Ru2,2.444
170,Zr1Ru0.95Rh0.05P1,6.15
171,Nb0.94Ta0.06,8.76
172,Pt1Si1,0.88
173,B1I3,1.86
174,Nb79.5Sn2.1Al6.1Ge12.3,9.4
175,Bi0.07Pb0.93,7.7
176,Nb0.26U0.74,1.85
177,Er0.9Tb0.1Ni2B2C1,8.52
178,Ga1N1,2.925
179,B5Nb1.8Zr0.2,5.9
180,Yb1Al1B4,0.08
181,Sm1Fe1As0.47P0.53H0.09O0.91,10.5
182,Cu0.98Co0.02Rh2S4,1.0
183,Lu5Ir4Si8Ge2,6.6
184,In1,3.549542857
185,Ga2La1,0.575
186,Sr1Si1.9Ni0.1,2.3
187,Sn18.43Er4.57Rh6,0.97
188,La0.95Ce0.05Ru4P12,6.8
189,Br2,1.4
190,Al0.22La0.78,4.3
191,Ce1Pt0.2Ru1.8,3.4
192,Sm1Fe0.94Ni0.06As1O1,9.0
193,Mo1.75Ru1.25B2,3.7
194,Zr1P1.6S0.4,4.36
195,Au0.28Te0.72,1.96
196,Ca1Si2.2,1.37
197,Hg0.97Tl0.03,4.109
198,Er0.03La0.97,4.49
199,Y1Ru1B4,1.38
200,Pd2Se1,2.2
201,Rh0.06Zr0.94,5.866666667
202,Ir2Zr1,4.1
203,La1Ni1B1N1,1.96
204,Ce1Co1In4.94Sn0.06,1.565
205,Nb2Pd0.67Se5,1.2
206,Bi2K1,3.575
207,Ir0.89Rh0.11,0.06
208,Lu1Ni1B0.8C1,2.6
209,B2.34Nb1,9.16
210,Co7.32Ga25V67.68,5.03
211,Hf1V2H0.4,8.42
212,Cu0.05V0.95,3.85
213,Ho1Rh3Ru1B4,6.35
214,Y0.9Fe0.1B6,3.3
215,Mo0.059Zr0.941,4.15
216,Cs0.005W1O3,5.9
217,Ho1Rh4B4,0.7
218,V3Ga0.9Sn0.1,10.7
219,U1Ir2Si2,1.1
220,Th0.05Zr0.95,0.73
221,Ba1Fe1.8Ni0.2As2,6.4
222,Lu2Ir3Si4.9Ge0.1,7.74
223,Ti1.38V1.62Sb1,1.49
224,Be2Ta3,1.0
225,Mo0.025Ti0.975,1.8
226,La3Pr0.3In1,6.2
227,Ce1Rh1Si3,0.914
228,Ba1Pb0.78Bi0.22O3,10.3
229,Ce1Ir0.956Pt0.044In5,0.429
230,Ag0.1In0.9Te1,1.2
231,Ce1Rh0.25Ir0.75In5,0.63
232,Ag0.865Sb0.135,0.014
233,Ta1,4.3769
234,Cu0.844Sb0.156,0.067
235,Eu1Pt1Si3,3.7
236,Tm1Ir3.6Rh0.4B4,1.48
237,Ce1Bi1S2F0.9O0.1,6.855
238,Ba1Ni2As2,0.783333333
239,Cs2Cr3As3,2.025
240,Ba0.47K0.53Bi0.979Pr0.021O3,4.5
241,Cs1,0.75
242,Hf0.36Nb0.62Zr0.02,7.75
243,Co35.38Zr64.62,2.67
244,Ce1Rh0.07Co0.93In5,1.89
245,W5Si1B2,5.8
246,Ca0.4Ba1.15La1.45Cu3O7.12,7.6
247,Pr1V2Al20,0.029666667
248,C1Rh1,1.666666667
249,Ni0.011V0.989,3.82
250,Yb3Co4Sn13,2.5
251,Mo0.202Zr0.798,5.25
252,Ta0.6Mo0.4C1,8.67
253,Nb0.1Ti0.9N0.98,6.48
254,Sr1Pt2.1Pd0.9P1,5.78
255,Li2Mo15Se19,2.6
256,Lu0.9Gd0.1Ru1B2,6.4
257,Nb0.8Pd0.2,1.98
258,Er5Os4Si15,5.5
259,Cr34.9Ga25V40.1,5.48
260,La0.99Nd0.01,4.915
261,La1.8Sr0.2Cu0.65Ni0.35O4,8.0
262,Sn0.057V0.943,1.6
263,Mg4Ni6B2,4.0
264,Mn0.05Rh0.04Ti0.91,2.4
265,Re0.2Ta0.8,0.21
266,Ca0.1O3W1,1.4
267,La0.1Ce0.9Ru2,7.194
268,Ce1Rh0.3Co0.7In5,1.42
269,Al13Os3.2Ru0.8,4.0
270,Ce1Ir0.978Pt0.022In5,0.734
271,Mo0.85Pt0.15,8.8
272,Sn1.08Eu0.1Mo6.35S8,10.9
273,La2.9602Gd0.0398In1,6.04
274,Lu1Mo6S8,2.2
275,La1Pd2Al3,0.85
276,Ho1Ni1.95Co0.03B2C1,4.51
277,Y1Ir1.5Os0.5,2.4
278,Nb0.04Ta0.96,4.47
279,Sb1Ta3,0.72
280,Sr2Ru1O4,1.290384615
281,Hf1Ru1As1,3.193333333
282,C0.96Nb1,9.8
283,Fe1Te1,1.5
284,Y5Ir4Ge10,2.76
285,Ni2Nb1Sn1,3.15
286,Th7Fe1.86Co1.14,1.07
287,Mg1C0.853B0.072Ni3,6.76
288,Fe1.02Te0.5Se0.1S0.4,8.45
289,Pd0.67Se0.33,2.2
290,Hf2Rh1,1.72
291,Pb1Mo6Se7.55,5.0
292,Al0.27La0.73,3.82
293,Nb0.35Ti0.15Zr0.5,9.3
294,Ti1Se2,0.9
295,Th1Ru2Ge2,1.1
296,U0.94Mo0.06,0.74
297,Li0.3O3W1,2.2
298,Nb20Ti75Ta5,7.1
299,Zr33.3V56.7Nb9.9,5.34
300,Mo0.04Zr0.96,4.47
301,Bi3S3O2,4.3
302,Li1Rh1B1.5,2.5
303,Dy1Ni2B2C1,5.033571429
304,Ge3Y1,2.35
305,Dy1Rh3.2Ir0.8B4,1.78
306,Rh0.08Ti0.92,3.5
307,Th1Ir1Os1,3.61
308,V3Ga0.78Sn0.22,6.9
309,B2Os1,1.5975
310,La1.84Sr0.16Cu0.97Zn0.03O4,7.85
311,Ba1Cu0.4Si1.6,2.11
312,Nb2Se3,2.3
313,Cu0.01Ta1S2,3.05
314,In0.85Pb0.15,5.1
315,B5Hf0.2Nb1.8,3.6
316,Mo0.05Tc0.95,10.8
317,Pb1Te1Yb1S1,5.93
318,Mg1Al1Si1,6.0
319,Th0.8Sc1.2C3,6.0
320,Th1Ir0.4Os1.6,3.56
321,Lu1Ni1.8Co0.4B2C1,2.6
322,P1Pb1,7.8
323,Bi0.5Pb0.31Sn0.19,8.5
324,Ho0.7Lu0.3Ni2B2C1,8.72
325,Na0.28Pb0.72,7.2
326,Y0.15Dy0.85Ni2B2C1,4.3
327,Pr1Os2Ru2Sb12,0.805
328,Ca1Al0.5Ga0.5Si1,3.73
329,Ba2Sn3Sb6,3.9
330,In0.087Pb0.913,7.035
331,Nb79.2Sn5.2Al5.2Ge10.4,10.9
332,Ir3Y1,3.5
333,Bi0.1In0.9,5.05
334,Ba0.14O3W1,1.725
335,Pr0.2La0.8Os4Sb12,0.9865
336,Er1Rh4B4,7.795
337,Nb0.4Ru0.6,2.5
338,Li1Pb1,7.2
339,Re10Zr90,4.12
340,Os0.113Re0.887,1.79
341,Sr2Cu1C0.96B0.04O5,7.0
342,Pb0.95Tl0.05,3.5275
343,K0.33Ta1S2,3.8
344,Sn0.24Eu0.8Mo6.35S8,6.0
345,Ir0.3Ru0.2Rh0.5,0.02
346,Al0.33Ge0.67,1.75
347,Lu4.95Sc0.05Ir4Si10,4.5
348,Tm1Th3.4Ru0.6B4,8.3
349,La1Ni2Ge2,0.345
350,Hf0.32Ta0.68,6.68
351,Fe1Se0.8S0.2,10.015
352,Pd49.75V0.25Sb50,1.13
353,Be13U0.9934Th0.0066,0.67
354,Ca1Al0.7Ga0.3Si1,4.78
355,Ir0.72Re0.18Rh0.1,0.6
356,Nd0.8Pr0.2Ba2Cu3O6.75,9.8
357,Ba1Fe1.838Co0.094Cu0.068As2,5.3
358,Tl1Sr1.5Ce0.5Ca1Cu2O7,5.0
359,Be17Nb2,1.47
360,Cu0.825Ge0.175,0.145
361,Er0.97Tm0.3Rh4B4,9.03
362,Y2Dy3Os4Ge10,2.86
363,N1Th1,3.3
364,Zr33.3V59.25Nb7.35,6.3
365,Lu2Ir3Si4.75Ge0.25,6.2
366,Y1Ru4B4,1.4
367,Ba0.8Rb0.2Ti2Sb2O1,6.19
368,Nb2S2C1,7.6
369,Sm0.7Pr0.3Ba2Cu3O6.85,4.4
370,Re24Zr5,3.875
371,Y2Br1Cl1C2,3.85
372,Lu3Rh4Ge13,2.3
373,C0.46W0.54,9.0
374,Cr0.1Ti0.3V0.6,5.6
375,Nb0.2V0.8,4.03
376,Os0.7Re0.3,0.8
377,Mo6Se7S1,4.48
378,Zr1Ru1P0.85B0.15,6.4
379,Ir0.75Rh0.25,0.026
380,Y2I0.4Br1.6C2,5.8
381,Ba2Bi2Sb1,3.92
382,Sn0.927In0.061Te1,1.8
383,Be2Nb3,2.3
384,S1Y1,1.9
385,La0.9Pr0.1Se1,0.48
386,Mo2Zr1,2.743
387,Ba1Fe1.7Zn0.08Co0.22As2,8.77
388,Pr0.25La0.75Ir2Zn20,0.28
389,Os0.1W0.9,1.5
390,Mg1C1Ni2.95Co0.05,7.42
391,Sc4Rh6Sn19,3.2
392,La1Fe1As0.7P0.3O1,9.743333333
393,In0.05Sn0.95,3.625
394,Rh1Zr1,1.35
395,Ti0.42V0.58,7.52
396,C0.72W0.28Si1,3.9
397,K0.75Ca0.25Bi1O3,8.7
398,Sn0.8In0.2Te0.8Se0.2,3.8
399,Zr1Ru0.8Fe0.2P1,2.6
400,Fe0.008Mo99.992,0.645
401,Os1Ti1,0.46
402,Ta0.9V0.1,3.58
403,Cu0.55Zn0.45Ir2S4,2.41
404,Ce1Cu2Si1.7Ge0.3,0.1
405,C1.35Ca0.1Y0.9,10.5
406,Er1.2Mo6S8,1.433333333
407,Bi3S3O3,5.1
408,Sn0.97As0.02Te0.98,0.0318
409,Y2Cu2I2,10.1
410,La1Pt1.97Ge2.03,0.83
411,V3Si0.46Ga0.54,7.4
412,V0.746Sb0.179Al0.075,4.3
413,Eu1.80375Gd0.04625Ce0.15Cu1O4,5.7
414,Bi0.45Pb0.55,7.7
415,K1Ni2Se2,0.8
416,Mg1Co1Ni3,7.63
417,C0.64Mo1,8.45
418,Na2Rb1C60,1.966666667
419,Cr1Ru3,3.3
420,Sc4Ir6Ge19,1.4
421,La2.9451Gd0.0549In1,2.71
422,D0.018Nb0.982,9.23
423,La1Pd2P2,0.75
424,Sm1Fe0.9Rh0.1As1O1,9.6
425,In1Te1,2.206
426,Pd50.745Sc0.255Sb49,1.56
427,Ru28Zr72,3.76
428,Nb0.85W0.15,5.32
429,Pd1Th2,0.75
430,Ba0.47K0.53Bi0.965Pr0.035O3,2.97
431,Th7Fe2.43Ni0.57,1.05
432,Zr0.935Lu0.065B12,4.77
433,Fe3Th7,2.016666667
434,Au0.855Sn0.145,0.43
435,Rh0.02Zr0.98,2.4
436,La1Tl0.75Sn2.25,1.19
437,Y0.7Th0.3Ni1C2,7.445
438,Na0.33Co1H2.6O3.3,2.2
439,Au0.22Te0.78,1.54
440,La0.5Sm0.5Bi1S2F0.5O0.5,4.05
441,Ho1Th3.4Ru0.6B4,6.3
442,Ba1Ag0.5Si1.5,1.21
443,Th1Ir2Si2,2.215
444,Al20.3V2,1.49
445,Ir0.98Pt0.02Te2,1.4275
446,C60Ca5,8.4
447,Nb0.98Ta0.02,9.02
448,Na0.3Ba6.2Si46,4.0
449,V0.741Sb0.113Al0.146,6.1
450,Th99.92U0.08,0.77
451,Ta2Zr1,2.3
452,Ba0.83K0.17Fe2As2,8.0
453,Fe1Te0.88S0.12,6.8
454,Au0.865Sn0.135,0.435
455,Ir0.765Os0.085Rh0.15,0.096
456,C0.04Re0.96,1.98
457,B1Mo1.75Ta0.25,3.05
458,Cu0.86Si0.14,0.054
459,Pd0.2Ho1Te3,2.0
460,Nb48.15Zr42.5Ta9.35,10.4
461,Pb0.85Tl0.15,6.73
462,Hg0.333In0.667,4.115
463,Al0.005V0.995,4.82
464,V3Ga0.4Si0.6,8.7
465,Ba1Pb0.65Bi0.35O3,3.93
466,Rh0.53Se0.47,6.0
467,Sr0.2W1S2,3.5
468,Cu0.7Ti1Se2,3.9
469,Nb1S0.899,3.83
470,Sn0.8In0.2Te0.85Se0.15,3.9
471,Ge2Mo1,3.055
472,Ce1Te1.82,2.7
473,W1.75Ru1.25B2,3.38
474,Ba1Fe1.78Ni0.22As2,3.4
475,C1Ir2W3,2.1
476,Y0.2Lu0.8Ir4B4,3.04
477,Ni1U6,0.54
478,C1.3La1,8.3
479,La0.15Y0.85,0.1
480,La1.85Sr0.15Cu0.977Ga0.023O4,0.9
481,U1Pd2Al3,1.864
482,Ir0.58Rh0.37Te2,3.76
483,Cu1Co1.95Cr0.05S4,3.4
484,Ce0.94La0.06Ru2,6.55
485,Y1Os2Si2,1.1
486,Li2Ir1Si3,3.75
487,Ba0.1Sr0.9Ti1O3,0.1
488,Nb0.8Zr0.2,10.9
489,Li2Pt3B0.99Al0.01,2.86
490,Ir0.1Os0.3Rh0.6,0.21
491,Co1Si2,1.306666667
492,V3Si0.68Ga0.32,9.4
493,U0.85Mo0.15,2.105
494,Ba4C60,6.75
495,U1Ni1.95Al3.05,0.16
496,Ba1Ti2Sb0.8Bi1.2O1,4.02
497,Mg1C0.965Ni3,6.3
498,B1Ta1,4.0
499,Nb50Zr40Hf10,10.1
500,Cd1C1Ni3,3.133333333
501,Au1Te2,1.366666667
502,La0.7Sm0.3Bi1S2F0.5O0.5,3.11
503,Y1Ni1.46Pd0.54B2C1,10.1
504,B3Nb1,9.96
505,V2Hf0.9Nb0.1,9.93
506,Ba1Pb0.8Bi0.2O3,9.875
507,Be22Mo0.6Re0.4,8.3
508,Rh0.2Ru0.8,0.18
509,Pd2Y0.95Gd0.05Sn1,2.41
510,Ba0.85K0.15Ti2Sb2O1,5.86
511,La1Ni1Sn1,0.59
512,Th3Rh4Sn13,1.9
513,C1.95Y1,3.86
514,Pb0.928Sn0.232Ti2Se5.16,4.53
515,In0.92Sn0.08,4.25
516,La1Ir1Si1,2.3
517,U0.9Np0.1Co1Ga5,7.2
518,Cu6La1,0.021
519,Sn0.901In0.099Te1,1.746
520,Th0.2Zr0.8,3.3
521,Ce1Co1In4.9835Cd0.0165,2.15
522,Nb25Ti65Zr10,7.7
523,Y1Ni1.7Mn0.3B2C1,5.7
524,Re0.52W0.48,5.2
525,Ge0.045Nb0.955,4.15
526,Mo5P1B2,8.7
527,Li2Pd2.55Ni0.45B1,6.58
528,Be22Re0.95Os0.05,9.2
529,La1Ru2.94Co0.06Si2,6.62
530,Zr1Ru1P0.8B0.2,5.4
531,C0.6Mo4.8Si0.3,7.6
532,Cu0.045Ti1Se2,0.95
533,Rh0.03Zr0.97,5.626666667
534,C1Ta2,1.63
535,Cr2Ru1,2.02
536,Co0.032Ti0.968,2.84
537,Nb0.99Cr0.01N1,1.2
538,Pb0.9Sb0.1,6.28
539,Y1Ru4P12,8.5
540,La0.933Gd0.067Sn3,4.64
541,La2.9889Gd0.0111In1,7.92
542,Ce1Bi1S2F0.9O0.34,3.51
543,Y1Os4P12,3.0
544,Mo0.25Ru0.75,2.6
545,Hg1Sm0.5In0.5Pb2,6.9
546,Nd1Bi0.94Pb0.06S2F0.3O0.7,5.56
547,Rh24Zr76,3.67
548,B2.75Be1,0.755
549,Th1Pt2Ge2,1.1
550,Y1.68Lu0.32Fe3Si5,0.98
551,In0.017Sn0.983,3.625
552,Ca1Fe0.8Ni0.2As1F1,3.92
553,As3La4,6.5
554,Al2Au1,0.0475
555,Li2.6Ti2.7O4,10.9
556,V50Ti45Ta5,4.55
557,Na0.22Co1H1.8O2.85,4.45
558,Ba0.13O3W1,1.9
559,Ho0.8La0.2Ni2B2C1,1.3
560,Ni1Ta2,0.9
561,Y1Mo6S7,2.66
562,Er1Os1.1Sn2.7,1.3
563,Ga25Mn14V61,4.22
564,Cu50Zr50,0.543333333
565,Cr0.071Nb0.929,6.95
566,Ba1Ti2Sb1.4Sn0.6O1,2.49
567,La1Pt0.5Ni0.5Si1,2.285
568,Y1Pt2Si2,1.57
569,Ba0.88K0.12Fe2As2,10.0
570,Pr1Os1Ru3Sb12,0.84
571,Nb0.29Re0.71,5.61
572,Cu0.7Zn0.3Ir2S4,2.95
573,Pd1Sn1,0.41
574,Ta1Se1.5Te0.5,1.2
575,Au0.427Ga0.573,1.378
576,Co0.015Mo99.985,0.59
577,Tl1Mo3Te3,5.84
578,Cd0.75Mg0.25,0.16
579,V0.55Ge0.1Al0.35,5.4
580,Pd50.745Ti0.255Sb49,1.61
581,D0.967Pd1,8.14
582,Rh0.88Ti0.12,4.0
583,Pd1Tl1Pb1,1.78
584,Cu1Co1.99Cr0.01S4,3.62
585,H0.1Nb0.9,7.38
586,La1Pd2As2,0.97
587,Th0.9La0.3Ru2,4.45
588,C6Sr1,1.65
589,Mo0.22U0.78,2.06
590,Y6Nb4Al43,0.86
591,Si0.05V0.95,2.95
592,Nb0.8Ga0.14Ni0.06,8.7
593,Au0.328Ga0.672,1.668
594,Zr1Os1Si1,1.72
595,Cr0.0033V0.9967,5.07
596,Ba1Ge3,4.0
597,Ca10Pt3.41Fe9.59As18,7.38
598,La0.99Pr0.01,5.265
599,Cd0.0263Pb0.9737,7.124
600,Mo0.1215Ti0.8785,3.5
601,Cd1Mo6S8,1.8
602,Ba1Pd0.2Si1.8,2.91
603,Y4Os4Si13,9.8
604,Mo0.1U0.9,1.85
605,Hg1Sn6,5.1
606,C14H10Sr1.5,5.6
607,Ce1Rh0.6Co0.4In5,1.5
608,Mo0.91Ti0.09,2.95
609,Ru0.42V0.58,2.12
610,Ca0.1Ba1.65La1.25Cu3O6.98,8.0
611,U1,0.581666667
612,Pr1Fe0.9Co0.1As0.8P0.2O1,10.9
613,Ti0.2V0.8,7.305
614,Pr1Fe0.85Co0.15As1O1,7.485
615,B0.978C0.022Si1,1.35
616,Nd1.72Ta3.28S2,4.3
617,Ag1Th2,2.225
618,Re24Sc5,2.2
619,Al0.02V0.98,4.05
620,La1.85Sr0.15Cu0.966Ni0.034O4,9.4
621,Pd0.07Ti0.93,3.26
622,Be5Pt1,2.3
623,As1Ga1,5.7
624,Mo0.15Nb0.85,5.575
625,Sn0.6646Pb0.2854In0.05Te1,2.28
626,Pb0.32Sn0.48In0.2Te1,4.19
627,Nb2Pd1S4.25Se0.75,3.18
628,Ba0.4K0.6O3,7.0
629,Bi0.02Sn0.98,3.85
630,La1Pt2.2B2C1,6.5
631,Lu0.275Rh0.725,1.27
632,Ho5Os4Si15,4.5
633,C1Tc1,3.85
634,Ir0.8Pt0.2,0.046
635,Fe0.95Ni0.05Se1,10.0
636,Ce1Rh0.13Co0.87In5,1.73
637,Ce1Cu2.05Si2,0.7
638,B2.5Mo1,7.775
639,Na0.45Co1H2.6O3.3,2.0
640,La1.943Sr0.057Cu1O4,4.51
641,V50Ti40Mo10,6.2
642,Ce1Co1.67Rh0.33,0.47
643,La0.4Th0.6Ni1C2,7.6
644,Nb3Si1Sn1V3,4.0
645,Pr1.85Ce0.15Cu0.993Ni0.007O4.065,7.02
646,Au0.65Pt0.35Te2,4.1
647,La2.4Se4Y0.6,3.92
648,Ca1Cu0.25Si1.6,3.0
649,In0.94Pb0.06,3.9
650,Na0.35Co1H1.3O3.3,3.7
651,Rh0.04Ta0.05Ti0.91,2.3
652,Th1.8Lu0.2C3,10.3
653,Mg1C1Ni2.999Fe0.001,6.93
654,Th1.8Sc0.2C3,6.7
655,Nb0.9Re0.1,4.5
656,Pd2Y0.5Tm0.5Sn1,3.65
657,Ge2U1,0.55
658,C1Hf0.9Ta0.1,5.0
659,Na0.26Co1H2.6O3.3,3.236666667
660,Hg3K1,3.18
661,Ho0.6Dy0.4Ni2B2C1,5.98
662,Y4Ir6Sn19,2.2
663,V0.4Zr0.6,7.8
664,Al0.04Au0.92In0.04,0.0555
665,Re0.999W0.001,1.723
666,Ba2Sr6Si46,4.1
667,Pd0.5Ag0.5Th2,1.2
668,Al0.1Fe0.9Se0.85,8.5
669,Ru2Sc1.2,1.67
670,Pb0.4Yb0.6Mo6Se8,7.9
671,Nb3Al0.3Ge0.7,9.1
672,La0.987Gd0.013Sn3,5.94
673,Ti0.64Nb0.34Ta0.02,8.99
674,Al0.99Li0.01,1.07
675,Mo3Si1.3,1.3
676,C0.42Mo1,2.8
677,Gd1.2Mo6S8,1.4
678,Sr2Ca12Cu24O41,6.471666667
679,La1Ru2,3.7032
680,Ba7.61Si46,8.2
681,Be0.99Re0.01,9.25
682,Sr1Fe1.86Co0.14As2,7.2
683,Hf0.99Ta0.01V2,9.11
684,Ga0.3V2Al20,1.5175
685,Au0.95Pd0.5Ga2,1.75
686,La1Rh1Sb1,2.1
687,Mo0.15Nb0.68Pd0.17,1.22
688,Lu0.8Dy0.2Ru1B2,5.07
689,Ag0.775Sn0.225,0.09
690,Bi3.99Cu0.01S3O4,3.935
691,V2.739Hf0.261Ga1,6.4
692,Th1Pt2B2C1,6.6
693,Ni19.75Zr79Mn1.25,1.92
694,Nb2S1C0.9,5.0
695,Nb0.92Sn0.08,5.6
696,Ti0.564V0.376Ru0.06,4.72
697,La1.8Nd0.2Cu0.99Zn0.01O4.0631,4.87
698,C0.55W0.45,8.1
699,Cu0.12Bi2Se3,3.8
700,Y3Dy2Os4Ge10,4.8
